report_date,mall,ad_type,landing,url,campaign,adgroup,keyword,device,impressions,clicks,cost,conversions,conversion_value
2026-03-31,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플,,1,0,0,0,0
2026-01-02,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-01-08,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-01-15,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-01-23,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-01-27,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-02-02,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-02-09,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-03-12,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-03-20,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트애플블라스트,,1,0,0,0,0
2026-01-02,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-03,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,3,0,0,0,0
2026-01-04,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-05,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-06,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-07,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,5,0,0,0,0
